City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,quellon,-43.1167,-73.6167,288.56,71,100,3.58,CL,1704057374
83,college station,30.628,-96.3344,296.04,42,0,5.66,US,1704057184
84,corfu,39.62,19.9197,285.82,87,40,0.0,GR,1704057374
85,saipan,15.1355,145.701,300.54,83,40,6.69,MP,1704057087
86,fortuna,40.5982,-124.1573,285.89,94,0,1.54,US,1704057374
87,peniche,39.3558,-9.3811,284.51,62,100,2.06,PT,1704057374
88,monticello,45.3055,-93.7941,269.75,85,100,4.63,US,1704057375
89,nova vicosa,-17.8919,-39.3719,298.85,84,95,3.74,BR,1704057375
90,puerto baquerizo moreno,-0.9,-89.6,300.7,78,75,5.66,EC,1704057130
91,carnarvon,-24.8667,113.6333,295.97,80,0,8.97,AU,1704057375
92,sampit,-2.5333,112.95,297.47,98,100,0.78,ID,1704057375
93,flying fish cove,-10.4217,105.6791,299.97,89,100,4.12,CX,1704057375
94,mount sterling,38.0565,-83.9433,281.7,69,100,6.17,US,1704057376
95,stanley,54.868,-1.6985,277.33,96,75,3.6,GB,1704057310
96,sibirskiy,53.5777,83.7577,267.33,84,78,5.51,RU,1704057376
97,tazovsky,67.4667,78.7,251.55,97,98,4.89,RU,1704057365
98,vernon,50.2581,-119.2691,279.04,98,99,1.03,CA,1704057181
99,atafu village,-8.5421,-172.5159,301.72,75,100,3.98,TK,1704057376
100,khandyga,62.6667,135.6,229.79,93,96,1.11,RU,1704057377
101,jiwani,25.05,61.7417,296.57,64,0,2.3,PK,1704057377
102,invercargill,-46.4,168.35,285.38,75,92,5.36,NZ,1704057377
103,nogliki,51.8333,143.1667,245.56,95,33,2.68,RU,1704057377
104,cole harbour,44.6724,-63.4751,273.86,86,93,5.36,CA,1704057377
105,margaret river,-33.95,115.0667,286.16,92,24,4.05,AU,1704057377
106,bethel,41.3712,-73.414,278.57,62,100,1.54,US,1704057122
107,upington,-28.4478,21.2561,299.36,50,17,1.54,ZA,1704057378
108,kone,-21.0595,164.8658,302.2,65,7,2.58,NC,1704057378
109,alindao,5.0267,21.2088,297.5,35,34,0.8,CF,1704057378
110,pisco,-13.7,-76.2167,298.18,73,0,6.69,PE,1704057378
111,vilyuysk,63.7553,121.6247,246.48,98,100,3.13,RU,1704057379
112,nong kung si,16.65,103.3,293.14,80,95,2.16,TH,1704057379
113,malango,-2.9627,119.9001,293.47,96,95,0.74,ID,1704057379
114,arraial do cabo,-22.9661,-42.0278,298.13,69,75,3.09,BR,1704057308
115,pacific grove,36.6177,-121.9166,287.96,80,40,1.54,US,1704057379
116,sendafa,9.15,39.0333,286.75,63,93,1.19,ET,1704057380
117,port mathurin,-19.6833,63.4167,300.27,78,92,2.97,MU,1704057380
118,dudinka,69.4058,86.1778,244.08,95,100,4.47,RU,1704057380
119,tarko-sale,64.9225,77.785,246.32,100,100,3.18,RU,1704057380
120,emerald,-23.5333,148.1667,295.56,84,13,5.9,AU,1704057343
121,nchelenge,-9.3451,28.734,294.06,88,99,0.63,ZM,1704057377
122,san antonio de pale,-1.4014,5.6325,300.62,79,93,3.37,GQ,1704057381
123,yatou,37.15,122.3833,270.47,86,43,2.46,CN,1704057381
124,posse,-14.0931,-46.3694,298.33,72,100,0.55,BR,1704057381
125,dhidhdhoo,6.8833,73.1,298.14,92,100,5.23,MV,1704057381
126,newman,37.3138,-121.0208,287.34,90,100,0.45,US,1704057382
127,lhasa,29.65,91.1,271.48,46,86,1.3,CN,1704057382
128,tamanrasset,22.785,5.5228,286.1,18,0,2.06,DZ,1704057382
129,tiksi,71.6872,128.8694,241.51,100,100,1.65,RU,1704057382
130,hauterive,46.0901,3.4459,281.57,81,32,3.6,FR,1704057382
131,hermanus,-34.4187,19.2345,293.6,83,3,7.25,ZA,1704057325
132,belize city,17.4995,-88.1976,298.16,73,75,3.09,BZ,1704057383
133,flin flon,54.7682,-101.865,273.06,59,75,5.66,CA,1704057383
134,buncrana,55.1333,-7.45,280.19,81,71,9.25,IE,1704057383
135,howrah,22.5892,88.3103,289.15,88,0,3.09,IN,1704057383
136,berezovyy,51.6667,135.7,248.77,87,21,1.43,RU,1704057384
137,hirara,24.8,125.2833,291.3,63,75,9.77,JP,1704057384
138,antsiranana,-12.2787,49.2917,298.7,88,100,0.9,MG,1704057384
139,kaa-khem,51.6833,94.7333,253.38,98,99,1.39,RU,1704057384
140,iskateley,67.6803,53.1512,251.88,100,100,3.47,RU,1704057384
141,soio,-6.1349,12.3689,299.83,83,82,2.74,AO,1704057385
142,jamestown,42.097,-79.2353,275.92,98,100,2.06,US,1704057260
143,horta,38.5333,-28.6333,290.38,88,75,5.14,PT,1704057375
144,vilyuchinsk,52.9306,158.4028,254.4,67,2,4.62,RU,1704057385
